"";"Leto";"Regija";"Starost";"Spol";"Placa"
"339";2010;"Jugovzhodna Slovenija";"45-54 let";"Moški";1607
"340";2010;"Jugovzhodna Slovenija";"45-54 let";"Ženske";1552
"341";2010;"Jugovzhodna Slovenija";"55-64 let";"Moški";1781
"342";2010;"Jugovzhodna Slovenija";"55-64 let";"Ženske";2145
"343";2010;"Jugovzhodna Slovenija";"65 let ali veè";"Moški";3398
"344";2010;"Osrednjeslovenska";"15-24 let";"Moški";1000
"345";2010;"Osrednjeslovenska";"15-24 let";"Ženske";978
"346";2010;"Osrednjeslovenska";"25-34 let";"Moški";1481
"347";2010;"Osrednjeslovenska";"25-34 let";"Ženske";1426
"348";2010;"Osrednjeslovenska";"35-44 let";"Moški";1866
"349";2010;"Osrednjeslovenska";"35-44 let";"Ženske";1749
"350";2010;"Osrednjeslovenska";"45-54 let";"Moški";1851
"351";2010;"Osrednjeslovenska";"45-54 let";"Ženske";1761
"352";2010;"Osrednjeslovenska";"55-64 let";"Moški";2137
"353";2010;"Osrednjeslovenska";"55-64 let";"Ženske";2242
"354";2010;"Osrednjeslovenska";"65 let ali veè";"Moški";4394
"355";2010;"Osrednjeslovenska";"65 let ali veè";"Ženske";3207
"356";2010;"Gorenjska";"15-24 let";"Moški";1001
"357";2010;"Gorenjska";"15-24 let";"Ženske";947
"358";2010;"Gorenjska";"25-34 let";"Moški";1385
"359";2010;"Gorenjska";"25-34 let";"Ženske";1293
"360";2010;"Gorenjska";"35-44 let";"Moški";1697
"361";2010;"Gorenjska";"35-44 let";"Ženske";1500
"362";2010;"Gorenjska";"45-54 let";"Moški";1653
"363";2010;"Gorenjska";"45-54 let";"Ženske";1537
"364";2010;"Gorenjska";"55-64 let";"Moški";1830
"365";2010;"Gorenjska";"55-64 let";"Ženske";1968
"366";2010;"Gorenjska";"65 let ali veè";"Moški";4307
"367";2010;"Primorsko-notranjska";"15-24 let";"Moški";946
"368";2010;"Primorsko-notranjska";"15-24 let";"Ženske";950
"369";2010;"Primorsko-notranjska";"25-34 let";"Moški";1273
"370";2010;"Primorsko-notranjska";"25-34 let";"Ženske";1244
"371";2010;"Primorsko-notranjska";"35-44 let";"Moški";1471
"372";2010;"Primorsko-notranjska";"35-44 let";"Ženske";1353
"373";2010;"Primorsko-notranjska";"45-54 let";"Moški";1481
"374";2010;"Primorsko-notranjska";"45-54 let";"Ženske";1444
"375";2010;"Primorsko-notranjska";"55-64 let";"Moški";1665
"376";2010;"Primorsko-notranjska";"55-64 let";"Ženske";1718
"377";2010;"Primorsko-notranjska";"65 let ali veè";"Moški";3543
"378";2010;"Goriška";"15-24 let";"Moški";946
"379";2010;"Goriška";"15-24 let";"Ženske";915
"380";2010;"Goriška";"25-34 let";"Moški";1309
"381";2010;"Goriška";"25-34 let";"Ženske";1254
"382";2010;"Goriška";"35-44 let";"Moški";1599
"383";2010;"Goriška";"35-44 let";"Ženske";1444
"384";2010;"Goriška";"45-54 let";"Moški";1639
"385";2010;"Goriška";"45-54 let";"Ženske";1538
"386";2010;"Goriška";"55-64 let";"Moški";1914
"387";2010;"Goriška";"55-64 let";"Ženske";1972
"388";2010;"Goriška";"65 let ali veè";"Moški";4225
"389";2010;"Obalno-kraška";"15-24 let";"Moški";938
"390";2010;"Obalno-kraška";"15-24 let";"Ženske";943
"391";2010;"Obalno-kraška";"25-34 let";"Moški";1322
"392";2010;"Obalno-kraška";"25-34 let";"Ženske";1296
"393";2010;"Obalno-kraška";"35-44 let";"Moški";1661
