"";"LETO";"STATISTICNA_REGIJA";"SPOL";"STAROST";"PLACE"
"290";2013;"Pomurska";"moški";"15-24";1005
"291";2013;"Pomurska";"moški";"25-34";1248
"292";2013;"Pomurska";"moški";"35-44";1451
"293";2013;"Pomurska";"moški";"45-54";1486
"294";2013;"Pomurska";"moški";"55-64";1626
"295";2014;"Pomurska";"moški";"Skupaj";1480
"296";2014;"Pomurska";"moški";"15-64";1477
"297";2014;"Pomurska";"moški";"15-24";1010
"298";2014;"Pomurska";"moški";"25-34";1278
"299";2014;"Pomurska";"moški";"35-44";1514
"300";2014;"Pomurska";"moški";"45-54";1555
"301";2014;"Pomurska";"moški";"55-64";1674
"302";2015;"Pomurska";"moški";"Skupaj";1487
"303";2015;"Pomurska";"moški";"15-64";NA
"304";2015;"Pomurska";"moški";"15-24";NA
"305";2015;"Pomurska";"moški";"25-34";1293
"306";2015;"Pomurska";"moški";"35-44";1520
"307";2015;"Pomurska";"moški";"45-54";1561
"308";2015;"Pomurska";"moški";"55-64";1655
"309";2016;"Pomurska";"moški";"Skupaj";1536
"310";2016;"Pomurska";"moški";"15-64";NA
"311";2016;"Pomurska";"moški";"15-24";NA
"312";2016;"Pomurska";"moški";"25-34";1326
"313";2016;"Pomurska";"moški";"35-44";1570
"314";2016;"Pomurska";"moški";"45-54";1609
"315";2016;"Pomurska";"moški";"55-64";1709
"316";2017;"Pomurska";"moški";"Skupaj";1575
"317";2017;"Pomurska";"moški";"15-64";NA
"318";2017;"Pomurska";"moški";"15-24";NA
"319";2017;"Pomurska";"moški";"25-34";1359
"320";2017;"Pomurska";"moški";"35-44";1620
"321";2017;"Pomurska";"moški";"45-54";1632
"322";2017;"Pomurska";"moški";"55-64";1746
"323";2018;"Pomurska";"moški";"Skupaj";1643
"324";2018;"Pomurska";"moški";"15-64";NA
"325";2018;"Pomurska";"moški";"15-24";NA
"326";2018;"Pomurska";"moški";"25-34";1427
"327";2018;"Pomurska";"moški";"35-44";1698
"328";2018;"Pomurska";"moški";"45-54";1695
"329";2018;"Pomurska";"moški";"55-64";1775
"330";2019;"Pomurska";"moški";"Skupaj";1734
"331";2019;"Pomurska";"moški";"15-64";1726
"332";2019;"Pomurska";"moški";"15-24";1220
"333";2019;"Pomurska";"moški";"25-34";1532
"334";2019;"Pomurska";"moški";"35-44";1778
"335";2019;"Pomurska";"moški";"45-54";1820
"336";2019;"Pomurska";"moški";"55-64";1824
"337";2008;"Pomurska";"ženske";"Skupaj";1137
"338";2008;"Pomurska";"ženske";"15-64";1136
"339";2008;"Pomurska";"ženske";"15-24";838
"340";2008;"Pomurska";"ženske";"25-34";1067
"341";2008;"Pomurska";"ženske";"35-44";1105
"342";2008;"Pomurska";"ženske";"45-54";1192
"343";2008;"Pomurska";"ženske";"55-64";1576
"344";2009;"Pomurska";"ženske";"Skupaj";1327
"345";2009;"Pomurska";"ženske";"15-64";1327
"346";2009;"Pomurska";"ženske";"15-24";854
"347";2009;"Pomurska";"ženske";"25-34";1146
"348";2009;"Pomurska";"ženske";"35-44";1322
"349";2009;"Pomurska";"ženske";"45-54";1447
"350";2009;"Pomurska";"ženske";"55-64";1832
"351";2010;"Pomurska";"ženske";"Skupaj";1328
"352";2010;"Pomurska";"ženske";"15-64";1328
"353";2010;"Pomurska";"ženske";"15-24";902
"354";2010;"Pomurska";"ženske";"25-34";1180
"355";2010;"Pomurska";"ženske";"35-44";1291
"356";2010;"Pomurska";"ženske";"45-54";1425
"357";2010;"Pomurska";"ženske";"55-64";1922
"358";2011;"Pomurska";"ženske";"Skupaj";1381
"359";2011;"Pomurska";"ženske";"15-64";1380
